doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,createdAt,updatedAt,inDataCite,inOpenAire,openAireBestAccessRight,openAireIndicatorsDownloads,openAireIndicatorsViews,clientName,clientType
10.17613/7csv-7x21,msu.core,2018,JournalArticle,Häxprocesser och minneskultur,unknown,0,1,0,1,0,2018-12-11T10:00:29Z,2024-11-18T21:58:12Z,1,,,,,Knowledge Commons Works,repository
10.5878/maj6-fh02,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 1999,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:33Z,2025-09-22T09:31:11Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/8t77-xy25,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 1999,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:34Z,2025-09-22T09:30:44Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/bs9p-pv69,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 1999,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:34Z,2025-09-22T08:40:55Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/9eee-nv74,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 2001,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:35Z,2025-09-22T09:31:28Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/cs6k-5d36,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 2001,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:36Z,2025-09-22T09:31:09Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/f19n-0y74,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 2001,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:36Z,2025-09-22T09:25:14Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/9ff6-ha95,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Poland 2001,Södertörns högskola,1,1,0,1,0,2019-05-14T01:30:37Z,2025-09-22T09:31:31Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5281/zenodo.3572351,cern.zenodo,2019,Text,"Editorial Special Issue on Arts-Based Research - Arts-Based Research in European Arts Education: Philosophical, ontological and epistemological introductions",Zenodo,0,1,0,1,0,2019-12-12T14:30:06Z,2020-07-30T10:46:24Z,1,,,,,Zenodo,repository
10.5281/zenodo.3572350,cern.zenodo,2019,Text,"Editorial Special Issue on Arts-Based Research - Arts-Based Research in European Arts Education: Philosophical, ontological and epistemological introductions",Zenodo,0,1,0,0,0,2019-12-12T14:30:07Z,2020-07-30T10:46:24Z,1,,,,,Zenodo,repository
10.5061/dryad.gtht76hh9,dryad.dryad,2020,Dataset,Plant response to habitat amount and configuration in Swedish forests,Dryad,0,1,0,1,0,2020-01-13T18:55:40Z,2025-07-22T14:13:40Z,1,1,OPEN,4,4,DRYAD,repository
10.7910/dvn/k7rebf,gdcc.harvard-dv,2020,Dataset,#metoo petitions in Sweden 2017-2019,Harvard Dataverse,0,0,1,1,0,2020-09-02T18:02:48Z,2025-06-03T12:21:16Z,1,,,,,Harvard Dataverse,repository
10.5281/zenodo.4063787,cern.zenodo,2020,Text,OCEANS PACT abstract and project schematic,Zenodo,0,1,0,1,0,2020-10-02T12:27:21Z,2020-10-02T12:28:32Z,1,,,,,Zenodo,repository
10.5281/zenodo.4063786,cern.zenodo,2020,Text,OCEANS PACT abstract and project schematic,Zenodo,0,1,0,0,1,2020-10-02T12:27:22Z,2020-10-02T12:28:34Z,1,,,,,Zenodo,repository
10.5281/zenodo.4288811,cern.zenodo,2020,Text,Conflicting Conceptualisations of Europeanisation – Sweden Country Report,Zenodo,0,1,0,1,0,2020-11-24T14:38:16Z,2020-11-24T14:38:17Z,1,,,,,Zenodo,repository
10.5281/zenodo.4288810,cern.zenodo,2020,Text,Conflicting Conceptualisations of Europeanisation – Sweden Country Report,Zenodo,0,1,0,0,0,2020-11-24T14:38:18Z,2020-11-24T14:38:19Z,1,,,,,Zenodo,repository
10.48335/9789188855299-8,snd.nordicom,2021,Text,Local political communication in a hybrid media system,Nordicom,0,1,0,1,0,2021-01-17T20:42:06Z,2021-01-17T20:42:33Z,1,,,,,NORDICOM books,periodical
10.48335/9789188855299-12,snd.nordicom,2021,Text,Populism and media and communication studies in the Nordic countries,Nordicom,0,1,0,1,0,2021-01-17T21:03:27Z,2021-01-17T21:03:53Z,1,,,,,NORDICOM books,periodical
10.5281/zenodo.4777779,cern.zenodo,2021,Text,Hackathons for inclusive urban planning: Exploring divergence to co -create convergence,Zenodo,0,1,0,1,0,2021-05-21T10:22:09Z,2021-07-27T07:21:27Z,1,,,,,Zenodo,repository
10.5281/zenodo.4777778,cern.zenodo,2021,Text,Hackathons for inclusive urban planning: Exploring divergence to co -create convergence,Zenodo,0,1,0,0,1,2021-05-21T10:22:12Z,2021-07-27T07:21:29Z,1,,,,,Zenodo,repository
10.13140/rg.2.2.28536.78089,rg.rg,2021,Text,“The sound of places” (sv. Platsens ljud),Södertörn University,1,0,0,1,0,2021-12-24T17:02:00Z,2021-12-24T17:02:01Z,1,,,,,ResearchGate,repository
10.13140/rg.2.2.21825.89443,rg.rg,2021,Text,Samtal om Ronna: eventrapport. VIVA-PLAN-forskningsprojek,Södertörn University,1,0,0,1,0,2021-12-24T17:02:59Z,2021-12-24T17:04:56Z,1,,,,,ResearchGate,repository
10.13140/rg.2.2.10920.70403,rg.rg,2021,Text,"Talking about Ronna: An event report. VIVA-PLAN Research Project. Södertörn University, Department of Environment, Development and Sustainability Studies, Sweden.",Södertörn University,1,0,0,1,0,2021-12-24T17:05:30Z,2021-12-24T17:05:31Z,1,,,,,ResearchGate,repository
10.5878/h09j-6n41,snd.snd,2022,Dataset,"Media, Trust and Information",Södertörns högskola,1,1,0,0,1,2022-09-20T11:48:50Z,2025-09-22T10:27:33Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/k7xc-4h49,snd.snd,2022,Dataset,"Media, Trust and Information",Södertörns högskola,1,1,0,1,0,2022-09-20T11:48:51Z,2025-09-22T09:38:41Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5281/zenodo.7124930,cern.zenodo,2021,Report,Internship report,Zenodo,0,1,0,1,0,2022-09-29T12:59:10Z,2022-09-29T12:59:10Z,1,,,,,Zenodo,repository
10.5281/zenodo.7124929,cern.zenodo,2021,Report,Internship report,Zenodo,0,1,0,0,0,2022-09-29T12:59:11Z,2022-09-29T12:59:12Z,1,,,,,Zenodo,repository
10.5281/zenodo.7310277,cern.zenodo,2022,Dataset,Database of literature,Zenodo,0,1,0,1,0,2022-11-10T11:23:01Z,2022-11-10T11:23:02Z,1,1,RESTRICTED,1,2,Zenodo,repository
10.5281/zenodo.7310276,cern.zenodo,2022,Dataset,Database of literature,Zenodo,0,1,0,0,0,2022-11-10T11:23:07Z,2022-11-10T11:23:07Z,1,1,RESTRICTED,1,2,Zenodo,repository
10.5281/zenodo.7451523,cern.zenodo,2022,JournalArticle,"Lived time in ""relay-method"" based arts education – sharing the UN Convention on the Rights of the Child as an example",Zenodo,0,1,0,1,0,2022-12-17T14:10:43Z,2022-12-17T14:10:43Z,1,,,,,Zenodo,repository
10.5281/zenodo.7451522,cern.zenodo,2022,JournalArticle,"Lived time in ""relay-method"" based arts education – sharing the UN Convention on the Rights of the Child as an example",Zenodo,0,1,0,0,0,2022-12-17T14:10:44Z,2022-12-17T14:10:44Z,1,,,,,Zenodo,repository
10.57698/v16i3.02,pixn.isfewa,2022,JournalArticle,Towards More than Human-Centered Design: Learning from Gardening,International Journal of Design,0,1,0,1,0,2022-12-26T21:01:45Z,2023-04-28T10:57:23Z,1,,,,,TU/e Journal,repository
10.25384/sage.22269841,sage.journals,2023,Text,sj-docx-1-jiv-10.1177_08862605231158754 – Supplemental material for Longitudinal Associations Between Community Violence Exposure and Mental Health Problems in Inner-City Youth: Ethnicity and Gender Perspectives,SAGE Journals,0,1,0,1,0,2023-03-14T12:07:33Z,2024-08-28T10:32:10Z,1,,,,,Sage Journals Data,repository
10.25384/sage.22269841.v1,sage.journals,2023,Text,sj-docx-1-jiv-10.1177_08862605231158754 – Supplemental material for Longitudinal Associations Between Community Violence Exposure and Mental Health Problems in Inner-City Youth: Ethnicity and Gender Perspectives,SAGE Journals,0,1,0,1,0,2023-03-14T12:07:33Z,2024-08-28T10:32:10Z,1,,,,,Sage Journals Data,repository
10.25384/sage.c.6468421,sage.journals,2023,Collection,Longitudinal Associations Between Community Violence Exposure and Mental Health Problems in Inner-City Youth: Ethnicity and Gender Perspectives,SAGE Journals,0,1,0,1,0,2023-03-14T12:07:34Z,2024-08-28T10:32:55Z,1,1,,,,Sage Journals Data,repository
10.25384/sage.c.6468421.v1,sage.journals,2023,Collection,Longitudinal Associations Between Community Violence Exposure and Mental Health Problems in Inner-City Youth: Ethnicity and Gender Perspectives,SAGE Journals,0,1,0,1,0,2023-03-14T12:07:34Z,2024-08-28T10:31:52Z,1,1,,,,Sage Journals Data,repository
10.7910/dvn/iurpri,gdcc.harvard-dv,2023,Dataset,The Local Governance Performance Index (LGPI) Household Survey 2016: Malawi,Harvard Dataverse,0,1,0,1,0,2023-03-29T07:46:34Z,2025-06-03T12:23:37Z,1,1,OPEN,,,Harvard Dataverse,repository
10.5281/zenodo.7885510,cern.zenodo,2023,Report,"An Outlook into Activism by Mothers, Fathers, and others for More Sustainable Living Environments",Zenodo,0,1,0,1,0,2023-05-02T09:18:53Z,2023-06-18T20:56:23Z,1,,,,,Zenodo,repository
10.5281/zenodo.7885509,cern.zenodo,2023,Report,"An Outlook into Activism by Mothers, Fathers, and others for More Sustainable Living Environments",Zenodo,0,1,0,0,1,2023-05-02T09:18:54Z,2023-06-18T20:56:24Z,1,,,,,Zenodo,repository
10.5281/zenodo.7907901,cern.zenodo,2023,Dataset,Inventory of Youth-led Climate Litigation V1_20230 ...,Zenodo,0,1,0,1,0,2023-05-08T13:08:31Z,2023-06-18T20:57:43Z,1,1,OPEN,15,42,Zenodo,repository
10.5281/zenodo.7907900,cern.zenodo,2023,Dataset,Inventory of Youth-led Climate Litigation V1_20230 ...,Zenodo,0,1,0,0,0,2023-05-08T13:08:32Z,2023-06-18T20:57:44Z,1,1,OPEN,15,42,Zenodo,repository
10.25384/sage.23497956,sage.journals,2023,Text,sj-docx-1-isp-10.1177_00207640231175248 – Supplemental material for Perceived discrimination and mental health in the Japanese general population,SAGE Journals,0,1,0,1,0,2023-06-11T00:10:10Z,2024-08-28T11:19:04Z,1,,,,,Sage Journals Data,repository
10.25384/sage.23497956.v1,sage.journals,2023,Text,sj-docx-1-isp-10.1177_00207640231175248 – Supplemental material for Perceived discrimination and mental health in the Japanese general population,SAGE Journals,0,1,0,1,0,2023-06-11T00:10:10Z,2024-08-28T11:18:45Z,1,,,,,Sage Journals Data,repository
10.25384/sage.c.6690444,sage.journals,2023,Collection,Perceived discrimination and mental health in the Japanese general population,SAGE Journals,0,1,0,1,0,2023-06-11T00:10:10Z,2024-08-28T11:18:51Z,1,1,,,,Sage Journals Data,repository
10.25384/sage.c.6690444.v1,sage.journals,2023,Collection,Perceived discrimination and mental health in the Japanese general population,SAGE Journals,0,1,0,1,0,2023-06-11T00:10:10Z,2024-08-28T11:19:28Z,1,1,,,,Sage Journals Data,repository
10.5878/7v8h-dj07,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 1999,Södertörns högskola,1,1,0,0,1,2023-06-15T19:18:08Z,2025-09-22T10:05:45Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/6rzn-nh78,snd.snd,2002,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 1999,Södertörns högskola,1,1,0,0,1,2023-06-15T19:18:10Z,2025-09-22T10:09:42Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/dj7b-a495,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Poland 2001,Södertörns högskola,1,1,0,0,1,2023-06-15T19:24:09Z,2025-09-22T10:01:43Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/k1n0-br06,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Estonia 2001,Södertörns högskola,1,1,0,0,1,2023-06-15T19:24:11Z,2025-09-22T10:02:03Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/qedy-jx25,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Latvia 2001,Södertörns högskola,1,1,0,0,1,2023-06-15T19:24:13Z,2025-09-22T10:01:21Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/c25w-5917,snd.snd,2011,Dataset,Democracy and Social Transition in the Baltic Sea Region - Lithuania 2001,Södertörns högskola,1,1,0,0,1,2023-06-15T19:24:15Z,2025-09-22T10:06:39Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5281/zenodo.8069304,cern.zenodo,2023,Report,Overview of Youth-led Legal Mobilization Cases in Response to the Environmental Crisis,Zenodo,0,1,0,1,0,2023-06-22T13:12:41Z,2023-06-22T13:12:41Z,1,,,,,Zenodo,repository
10.5281/zenodo.8069303,cern.zenodo,2023,Report,Overview of Youth-led Legal Mobilization Cases in Response to the Environmental Crisis,Zenodo,0,1,0,0,0,2023-06-22T13:12:42Z,2023-06-22T13:12:42Z,1,,,,,Zenodo,repository
10.5878/d3d7-1n16,snd.snd,2023,Dataset,Factors responsible for Ixodes ricinus presence and abundance across a natural-urban gradient,Södertörns högskola,1,1,1,1,0,2023-08-08T14:38:27Z,2025-09-22T09:36:10Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/86s6-gm81,snd.snd,2023,Dataset,Factors responsible for Ixodes ricinus presence and abundance across a natural-urban gradient,Södertörns högskola,1,1,1,0,1,2023-08-08T14:38:28Z,2025-09-22T10:01:57Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/n0cb-4f19,snd.snd,2023,Dataset,Inventory of Mothering and Fathering Activism for More Sustainable Living Environments,Södertörns högskola,1,1,1,1,0,2023-08-16T08:11:43Z,2025-09-22T09:32:49Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/18ys-kk14,snd.snd,2023,Dataset,Inventory of Mothering and Fathering Activism for More Sustainable Living Environments,Södertörns högskola,1,1,1,0,0,2023-08-16T08:11:44Z,2025-09-22T10:01:19Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5281/zenodo.8251941,cern.zenodo,2023,JournalArticle,Stroop Effect - Performance,Zenodo,0,1,0,1,0,2023-08-16T09:17:17Z,2023-08-16T09:17:18Z,1,,,,,Zenodo,repository
10.5281/zenodo.8251940,cern.zenodo,2023,JournalArticle,Stroop Effect - Performance,Zenodo,0,1,0,0,0,2023-08-16T09:17:18Z,2023-08-16T09:17:19Z,1,,,,,Zenodo,repository
10.5878/msns-9547,snd.snd,2023,Dataset,Migration in Sweden and Finland 1613–1618 (from Älvsborg's ransom taxation records),Södertörns högskola,1,0,0,1,0,2023-08-28T12:01:36Z,2025-09-22T09:51:32Z,1,,,,,Swedish National Data Service,repository
10.5878/jsjd-6n20,snd.snd,2023,Dataset,Migration in Sweden and Finland 1613–1618 (from Älvsborg's ransom taxation records),Södertörns högskola,1,0,0,0,1,2023-08-28T12:01:38Z,2025-09-22T09:56:48Z,1,,,,,Swedish National Data Service,repository
10.5878/tz3b-4v36,snd.snd,2023,Dataset,MapRom - Mapping the Romani population in rural and semi-urban Wallachia in 1838,Södertörns högskola,1,1,1,1,0,2023-10-25T08:19:13Z,2025-06-30T13:46:09Z,1,1,,,,Swedish National Data Service,repository
10.5878/ssct-vf96,snd.snd,2023,Dataset,MapRom - Mapping the Romani population in rural and semi-urban Wallachia in 1838,Södertörns högskola,1,1,1,0,1,2023-10-25T08:19:15Z,2025-06-30T13:46:10Z,1,1,OPEN,,,Swedish National Data Service,repository
10.5878/vam5-jw90,snd.snd,2023,Dataset,"Baltic Barometer 2014 (Public opinion data: representative samples of the adult population in Estonia, Latvia and Lithuania, including the Russian-speaking and Polish minorities)",Södertörns högskola,1,1,0,1,0,2023-11-17T12:07:44Z,2025-09-22T09:47:41Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/g54p-mp08,snd.snd,2023,Dataset,"Baltic Barometer 2014 (Public opinion data: representative samples of the adult population in Estonia, Latvia and Lithuania, including the Russian-speaking and Polish minorities)",Södertörns högskola,1,1,0,0,1,2023-11-17T12:07:46Z,2025-09-22T09:59:10Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/x25t-5c46,snd.snd,2023,Dataset,"Post-Crimea Barometer (Public opinion data: representative samples of the adult population in Hungary, Bulgaria and Latvia, including the Russian-speaking minority)",Södertörns högskola,1,1,0,1,0,2023-11-17T12:47:25Z,2025-09-22T09:48:18Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/fyyw-4h80,snd.snd,2023,Dataset,"Post-Crimea Barometer (Public opinion data: representative samples of the adult population in Hungary, Bulgaria and Latvia, including the Russian-speaking minority)",Södertörns högskola,1,1,0,0,1,2023-11-17T12:47:26Z,2025-09-22T09:58:51Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/jr5z-c660,snd.snd,2023,Dataset,"Multi-country Social-Political Survey 2016 (Public opinion data: representative samples of the adult population in Hungary, Poland, Czech Republic, Slovakia, Slovenia, Bulgaria, Romania and Croatia)",Södertörns högskola,1,1,0,1,0,2023-11-17T13:17:10Z,2025-09-22T09:47:25Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/ne3v-r537,snd.snd,2023,Dataset,"Multi-country Social-Political Survey 2016 (Public opinion data: representative samples of the adult population in Hungary, Poland, Czech Republic, Slovakia, Slovenia, Bulgaria, Romania and Croatia)",Södertörns högskola,1,1,0,0,0,2023-11-17T13:17:11Z,2025-09-22T09:58:49Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/hk6s-pm71,snd.snd,2023,Dataset,"Baltic Barometer 2021. 30 Years after the fall of the Soviet Union (Public opinion data: representative samples of the adult population in Estonia, Latvia and Lithuania)",Södertörns högskola,1,1,0,1,0,2023-11-17T13:29:11Z,2025-09-22T09:47:37Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5878/n0vd-6s89,snd.snd,2023,Dataset,"Baltic Barometer 2021. 30 Years after the fall of the Soviet Union (Public opinion data: representative samples of the adult population in Estonia, Latvia and Lithuania)",Södertörns högskola,1,1,0,0,0,2023-11-17T13:29:12Z,2025-09-22T09:58:45Z,1,1,RESTRICTED,,,Swedish National Data Service,repository
10.5281/zenodo.10404974,cern.zenodo,2023,Report,Exploratory Mapping of Decision Support Tools for Inclusive Spatial Planning in the European Geographical Context,Zenodo,0,1,0,0,0,2023-12-19T13:37:13Z,2023-12-19T13:37:13Z,1,,,,,Zenodo,repository
10.5281/zenodo.10404975,cern.zenodo,2023,Report,Exploratory Mapping of Decision Support Tools for Inclusive Spatial Planning in the European Geographical Context,Zenodo,0,1,0,1,0,2023-12-19T13:37:13Z,2023-12-19T13:37:13Z,1,,,,,Zenodo,repository
10.5281/zenodo.10566410,cern.zenodo,2024,Text,Handbook of Youth Citizen Social Science. Working with Young People and the Local Community for Social Change,Zenodo,0,0,1,0,1,2024-02-01T13:05:24Z,2024-02-19T09:27:21Z,1,,,,,Zenodo,repository
10.5281/zenodo.10566411,cern.zenodo,2024,Text,Handbook of Youth Citizen Social Science. Working with Young People and the Local Community for Social Change,Zenodo,0,0,1,1,0,2024-02-01T13:05:24Z,2024-02-19T09:27:21Z,1,,,,,Zenodo,repository
10.17632/rnfk7xpwbg,bl.mendeley,2024,Dataset,"Data for: Influence of Translation on Perceived Metaphor Features: Quality, Aptness, Metaphoricity and Familiarity",Mendeley Data,0,0,1,0,1,2024-03-28T13:19:29Z,2025-06-01T06:10:59Z,1,,,,,Mendeley Data,repository
10.17632/rnfk7xpwbg.1,bl.mendeley,2024,Dataset,"Data for: Influence of Translation on Perceived Metaphor Features: Quality, Aptness, Metaphoricity and Familiarity",Mendeley Data,0,0,1,1,0,2024-03-28T13:19:30Z,2025-01-20T12:16:11Z,1,,,,,Mendeley Data,repository
10.5281/zenodo.10902870,cern.zenodo,2024,Dataset,East-west directional movement of respiratory virus activity,Zenodo,0,1,0,0,1,2024-04-01T10:38:08Z,2024-04-01T10:38:09Z,1,1,OPEN,,,Zenodo,repository
10.5281/zenodo.10902871,cern.zenodo,2024,Dataset,East-west directional movement of respiratory virus activity,Zenodo,0,1,0,1,0,2024-04-01T10:38:08Z,2024-04-01T10:38:09Z,1,1,OPEN,,,Zenodo,repository
10.6084/m9.figshare.25599843,figshare.ars,2024,Text,Additional file 1 of Ticks - public health risks in urban green spaces,figshare,0,1,0,1,0,2024-04-14T03:20:26Z,2024-08-18T18:03:57Z,1,,,,,figshare Academic Research System,repository
10.6084/m9.figshare.25599843.v1,figshare.ars,2024,Text,Additional file 1 of Ticks - public health risks in urban green spaces,figshare,0,1,0,1,0,2024-04-14T03:20:26Z,2024-08-18T18:03:57Z,1,,,,,figshare Academic Research System,repository
10.60692/a3mrv-zwq94,iapx.bsycxq,2022,Text,Where the grass is greenest in seagrass seascapes depends on life history and simple species traits of fish,OpenAlex,0,1,0,0,1,2024-05-15T12:32:05Z,2024-05-16T12:32:38Z,1,,,,,Greater South Information System,repository
10.60692/ktzm4-nqw65,iapx.bsycxq,2022,Text,Where the grass is greenest in seagrass seascapes depends on life history and simple species traits of fish,OpenAlex,0,1,0,1,0,2024-05-15T12:32:05Z,2024-05-16T12:32:38Z,1,,,,,Greater South Information System,repository
10.60692/r04yg-sfy23,iapx.bsycxq,2020,Text,Enriching perspectives: experienced ecosystem services in rural Mozambique and the importance of a gendered livelihood approach to resist reductionist analyses of local culture,OpenAlex,0,1,0,0,1,2024-05-15T13:02:01Z,2024-05-16T13:15:00Z,1,,,,,Greater South Information System,repository
10.60692/t46jb-cba67,iapx.bsycxq,2020,Text,Enriching perspectives: experienced ecosystem services in rural Mozambique and the importance of a gendered livelihood approach to resist reductionist analyses of local culture,OpenAlex,0,1,0,1,0,2024-05-15T13:02:01Z,2024-05-16T13:15:00Z,1,,,,,Greater South Information System,repository
10.60692/0ernn-gsq80,iapx.bsycxq,2023,Text,"Uptake of retroviral pre-exposure prophylaxis and its associated factors among female sex workers, Northwest Ethiopia",OpenAlex,0,1,0,1,0,2024-05-21T22:10:26Z,2024-05-21T22:10:27Z,1,,,,,Greater South Information System,repository
10.60692/8w4mp-y9575,iapx.bsycxq,2023,Text,"Uptake of retroviral pre-exposure prophylaxis and its associated factors among female sex workers, Northwest Ethiopia",OpenAlex,0,1,0,0,1,2024-05-21T22:10:26Z,2024-05-21T22:10:27Z,1,,,,,Greater South Information System,repository
10.60692/cjkak-kcb65,iapx.bsycxq,2022,Text,External knowledge resources and new venture success in developing economies: Leveraging innovative opportunities and legitimacy strategies,OpenAlex,0,1,0,0,1,2024-06-07T05:31:18Z,2024-06-11T05:30:10Z,1,,,,,Greater South Information System,repository
10.60692/dq7vm-2p621,iapx.bsycxq,2022,Text,External knowledge resources and new venture success in developing economies: Leveraging innovative opportunities and legitimacy strategies,OpenAlex,0,1,0,1,0,2024-06-07T05:31:18Z,2024-06-11T05:30:10Z,1,,,,,Greater South Information System,repository
10.60692/tzexz-dt341,iapx.bsycxq,2023,Text,Developing and utilizing coopetitive relationships: Evidence from small and medium-sized enterprises in sub-Saharan Africa,OpenAlex,0,1,0,0,1,2024-06-07T05:34:29Z,2024-06-11T05:34:26Z,1,,,,,Greater South Information System,repository
10.60692/y7bj2-qxt59,iapx.bsycxq,2023,Text,Developing and utilizing coopetitive relationships: Evidence from small and medium-sized enterprises in sub-Saharan Africa,OpenAlex,0,1,0,1,0,2024-06-07T05:34:29Z,2024-06-11T05:34:26Z,1,,,,,Greater South Information System,repository
10.5281/zenodo.12665611,cern.zenodo,2024,Dataset,Database on blue carbon in European seagrass and saltmarsh habitats,Zenodo,0,1,0,0,1,2024-07-08T08:38:53Z,2024-10-30T16:25:00Z,1,1,OPEN,,,Zenodo,repository
10.5281/zenodo.12665612,cern.zenodo,2024,Dataset,Database on blue carbon in European seagrass and saltmarsh habitats,Zenodo,0,1,0,1,0,2024-07-08T08:38:53Z,2024-10-30T16:25:00Z,1,1,OPEN,,,Zenodo,repository
10.17613/zyq3m-4j334,msu.core,2018,JournalArticle,Häxprocesser och minneskultur,unknown,0,1,0,0,1,2024-07-19T21:59:13Z,2024-11-18T21:58:12Z,1,,,,,Knowledge Commons Works,repository
